n,Resultado,Tempo_Relogio(ms),Tempo_CPU_Usuario(ms),Tempo_CPU_Sistema(ms)
4,24,0.00407,0.0021,0.0022
4,24,0.004151,0.0021,0.0021
4,24,0.003849,0.002,0.002
4,24,0.00405,0.0021,0.0021
4,24,0.004333,0.0025,0.0023
4,24,0.004353,0.0022,0.0023
4,24,0.004403,0.0022,0.0025
4,24,0.00408,0.0021,0.0022
4,24,0.003748,0.0019,0.002
4,24,0.003879,0.0021,0.002
4,24,0.00399,0.0022,0.0021
4,24,0.004111,0.0021,0.0021
4,24,0.00393,0.0022,0.0021
4,24,0.004413,0.0021,0.002
4,24,0.004141,0.0021,0.0021
4,24,0.00397,0.002,0.002
4,24,0.00398,0.0021,0.0021
4,24,0.003939,0.0021,0.0021
4,24,0.00391,0.0021,0.0021
4,24,0.00402,0.0022,0.0021
4,24,0.004141,0.002,0.0021
4,24,0.004051,0.0021,0.0021
4,24,0.003708,0.0019,0.0019
4,24,0.003779,0.0019,0.002
4,24,0.003869,0.002,0.0019
4,24,0.00405,0.0022,0.0023
4,24,0.004,0.002,0.002
4,24,0.004847,0.0028,0.0025
4,24,0.003919,0.0021,0.002
4,24,0.004242,0.0022,0.0022
4,24,0.004332,0.0022,0.0023
4,24,0.00399,0.0022,0.0022
4,24,0.003688,0.0021,0.0017
4,24,0.003284,0.0017,0.0017
4,24,0.00398,0.0017,0.0023
4,24,0.004513,0.0024,0.0025
4,24,0.005068,0.0027,0.0027
4,24,0.004816,0.0025,0.0025
4,24,0.004494,0.0021,0.0025
4,24,0.004625,0.0025,0.0024
4,24,0.004775,0.0027,0.0023
4,24,0.004212,0.0023,0.0022
4,24,0.004302,0.0023,0.0022
4,24,0.004272,0.0023,0.0021
4,24,0.004866,0.0026,0.0024
4,24,0.003426,0.0019,0.0018
4,24,0.003335,0.0018,0.0017
4,24,0.003264,0.0017,0.0016
4,24,0.003325,0.0018,0.0017
4,24,0.003275,0.0018,0.0017
4,24,0.003314,0.0018,0.0017
4,24,0.003264,0.0017,0.0016
4,24,0.003325,0.0018,0.0017
4,24,0.003274,0.0018,0.0017
4,24,0.003305,0.0018,0.0017
4,24,0.003274,0.0017,0.0017
4,24,0.003295,0.0017,0.0017
4,24,0.003274,0.0017,0.0017
4,24,0.003275,0.0017,0.0017
4,24,0.004524,0.0024,0.0024
4,24,0.004121,0.0022,0.0021
4,24,0.004353,0.0023,0.0023
4,24,0.004182,0.0022,0.0021
4,24,0.004504,0.0026,0.0025
4,24,0.003667,0.002,0.0017
4,24,0.003284,0.0017,0.0017
4,24,0.003304,0.0018,0.0017
4,24,0.003284,0.0017,0.0016
4,24,0.003305,0.0018,0.0017
4,24,0.003285,0.0017,0.0017
4,24,0.003284,0.0017,0.0017
4,24,0.004282,0.0024,0.0025
4,24,0.00398,0.0022,0.002
4,24,0.007304,0.0037,0.0025
4,24,0.003919,0.0022,0.0021
4,24,0.003445,0.0017,0.0016
4,24,0.003597,0.002,0.0019
4,24,0.003426,0.0018,0.0017
4,24,0.003305,0.0017,0.0016
4,24,0.003496,0.0019,0.0018
4,24,0.003395,0.0018,0.0017
4,24,0.003405,0.0017,0.0017
4,24,0.003113,0.0016,0.0016
4,24,0.003224,0.0017,0.0017
4,24,0.003718,0.0019,0.002
4,24,0.003506,0.002,0.0019
4,24,0.003506,0.0018,0.0018
4,24,0.008846,0.0043,0.0031
4,24,0.006609,0.0035,0.0029
4,24,0.004302,0.0023,0.0021
4,24,0.00408,0.0021,0.0021
4,24,0.004272,0.0022,0.0022
4,24,0.00411,0.0022,0.0021
4,24,0.004241,0.0022,0.0022
4,24,0.00396,0.0021,0.002
5,120,0.002378,0.0013,0.0013
5,120,0.002297,0.0012,0.0012
5,120,0.002277,0.0012,0.0012
5,120,0.002317,0.0012,0.0012
5,120,0.002277,0.0012,0.0012
5,120,0.002267,0.0012,0.0012
5,120,0.002267,0.0012,0.0012
5,120,0.002308,0.0013,0.0012
5,120,0.002277,0.0012,0.0011
5,120,0.002257,0.0012,0.0012
5,120,0.002277,0.0012,0.0012
5,120,0.002257,0.0012,0.0011
5,120,0.002257,0.0012,0.0012
5,120,0.002307,0.0013,0.0012
5,120,0.002267,0.0012,0.0011
5,120,0.002267,0.0012,0.0011
5,120,0.002257,0.0012,0.0012
5,120,0.002267,0.0011,0.0011
5,120,0.002277,0.0012,0.0012
5,120,0.002257,0.0012,0.0012
5,120,0.002277,0.0012,0.0011
5,120,0.002257,0.0012,0.0012
5,120,0.002267,0.0012,0.0012
5,120,0.002277,0.0011,0.0011
5,120,0.002277,0.0012,0.0012
5,120,0.002287,0.0012,0.0012
5,120,0.002267,0.0012,0.0011
5,120,0.002287,0.0012,0.0012
5,120,0.002267,0.0012,0.0012
5,120,0.002287,0.0012,0.0011
5,120,0.002277,0.0012,0.0012
5,120,0.002257,0.0012,0.0011
5,120,0.002257,0.0012,0.0012
5,120,0.002307,0.0012,0.0012
5,120,0.002257,0.0012,0.0011
5,120,0.002307,0.0012,0.0012
5,120,0.002257,0.0012,0.0012
5,120,0.002257,0.0012,0.0012
5,120,0.002257,0.0012,0.0012
5,120,0.002267,0.0011,0.0011
5,120,0.002267,0.0012,0.0012
5,120,0.002267,0.0012,0.0011
5,120,0.002287,0.0012,0.0012
5,120,0.002317,0.0013,0.0012
5,120,0.002267,0.0012,0.0012
5,120,0.002267,0.0012,0.0012
5,120,0.002277,0.0012,0.0012
5,120,0.002267,0.0012,0.0012
5,120,0.002257,0.0012,0.0011
5,120,0.002267,0.0012,0.0012
5,120,0.002308,0.0013,0.0012
5,120,0.002277,0.0012,0.0011
5,120,0.002277,0.0012,0.0011
5,120,0.002288,0.0012,0.0011
5,120,0.002267,0.0012,0.0012
5,120,0.002267,0.0012,0.0012
5,120,0.002277,0.0012,0.0011
5,120,0.002287,0.0012,0.0012
5,120,0.002267,0.0012,0.0012
5,120,0.002277,0.0012,0.0011
5,120,0.002277,0.0012,0.0011
5,120,0.002267,0.0012,0.0012
5,120,0.002267,0.0012,0.0012
5,120,0.002267,0.0012,0.0012
5,120,0.002287,0.0012,0.0011
5,120,0.002277,0.0012,0.0012
5,120,0.002277,0.0012,0.0012
5,120,0.002267,0.0012,0.0012
5,120,0.002267,0.0012,0.0011
5,120,0.002288,0.0012,0.0012
5,120,0.002277,0.0012,0.0012
5,120,0.002287,0.0012,0.0012
5,120,0.002277,0.0012,0.0011
5,120,0.002277,0.0012,0.0012
5,120,0.002267,0.0012,0.0012
5,120,0.002257,0.0011,0.0011
5,120,0.002257,0.0012,0.0012
5,120,0.002287,0.0012,0.0012
5,120,0.002267,0.0011,0.0011
5,120,0.002267,0.0012,0.0011
5,120,0.002277,0.0012,0.0012
5,120,0.002267,0.0012,0.0012
5,120,0.002267,0.0012,0.0011
5,120,0.002277,0.0012,0.0012
5,120,0.002267,0.0012,0.0012
5,120,0.002267,0.0011,0.0011
5,120,0.002267,0.0012,0.0011
5,120,0.002267,0.0012,0.0012
5,120,0.002267,0.0012,0.0012
5,120,0.00267,0.0013,0.0015
5,120,0.002851,0.0015,0.0015
5,120,0.002298,0.0013,0.0011
5,120,0.002277,0.0012,0.0011
5,120,0.002297,0.0012,0.0012
5,120,0.002297,0.0012,0.0012
5,120,0.002287,0.0012,0.0012
5,120,0.002297,0.0012,0.0012
5,120,0.002297,0.0012,0.0012
5,120,0.002297,0.0012,0.0012
5,120,0.002287,0.0012,0.0012
6,720,0.002368,0.0013,0.0012
6,720,0.002328,0.0012,0.0012
6,720,0.002297,0.0012,0.0012
6,720,0.002297,0.0012,0.0012
6,720,0.002287,0.0012,0.0012
6,720,0.002307,0.0012,0.0011
6,720,0.002337,0.0013,0.0012
6,720,0.002307,0.0012,0.0012
6,720,0.002297,0.0012,0.0012
6,720,0.002287,0.0012,0.0012
6,720,0.002287,0.0012,0.0011
6,720,0.002297,0.0012,0.0012
6,720,0.002287,0.0012,0.0011
6,720,0.002298,0.0012,0.0012
6,720,0.002297,0.0012,0.0012
6,720,0.002287,0.0012,0.0012
6,720,0.002287,0.0012,0.0012
6,720,0.002277,0.0012,0.0012
6,720,0.002297,0.0012,0.0012
6,720,0.002298,0.0012,0.0012
6,720,0.002288,0.0012,0.0012
6,720,0.002297,0.0012,0.0012
6,720,0.002287,0.0012,0.0012
6,720,0.002297,0.0012,0.0012
6,720,0.002287,0.0012,0.0012
6,720,0.002297,0.0012,0.0012
6,720,0.002298,0.0012,0.0012
6,720,0.002287,0.0013,0.0012
6,720,0.002277,0.0012,0.0012
6,720,0.002317,0.0012,0.0012
6,720,0.002308,0.0012,0.0012
6,720,0.002479,0.0012,0.0013
6,720,0.002922,0.0016,0.0015
6,720,0.002358,0.0013,0.0012
6,720,0.002347,0.0013,0.0012
6,720,0.002328,0.0012,0.0011
6,720,0.002317,0.0012,0.0012
6,720,0.002327,0.0012,0.0011
6,720,0.002368,0.0012,0.0012
6,720,0.002327,0.0012,0.0011
6,720,0.002358,0.0013,0.0013
6,720,0.002338,0.0013,0.0012
6,720,0.002368,0.0013,0.0012
6,720,0.002327,0.0012,0.0012
6,720,0.002328,0.0012,0.0012
6,720,0.002317,0.0012,0.0012
6,720,0.002327,0.0012,0.0012
6,720,0.002771,0.0017,0.0015
6,720,0.002328,0.0012,0.0012
6,720,0.002327,0.0013,0.0012
6,720,0.002328,0.0012,0.0012
6,720,0.002317,0.0012,0.0012
6,720,0.002317,0.0012,0.0012
6,720,0.002318,0.0012,0.0012
6,720,0.002337,0.0013,0.0012
6,720,0.002318,0.0013,0.0012
6,720,0.002328,0.0012,0.0012
6,720,0.002327,0.0012,0.0012
6,720,0.002327,0.0012,0.0012
6,720,0.002327,0.0013,0.0012
6,720,0.002327,0.0013,0.0012
6,720,0.002327,0.0012,0.0012
6,720,0.002348,0.0012,0.0012
6,720,0.002328,0.0013,0.0012
6,720,0.002337,0.0013,0.0012
6,720,0.002317,0.0013,0.0012
6,720,0.002328,0.0013,0.0012
6,720,0.002338,0.0012,0.0012
6,720,0.002337,0.0012,0.0012
6,720,0.002318,0.0013,0.0012
6,720,0.002328,0.0012,0.0012
6,720,0.002327,0.0012,0.0012
6,720,0.002338,0.0012,0.0012
6,720,0.002327,0.0012,0.0012
6,720,0.002337,0.0013,0.0012
6,720,0.002317,0.0013,0.0012
6,720,0.002327,0.0013,0.0012
6,720,0.002317,0.0012,0.0011
6,720,0.002337,0.0012,0.0012
6,720,0.002317,0.0012,0.0012
6,720,0.002317,0.0012,0.0012
6,720,0.002317,0.0012,0.0012
6,720,0.002317,0.0012,0.0012
6,720,0.002327,0.0012,0.0012
6,720,0.002348,0.0012,0.0012
6,720,0.002328,0.0012,0.0012
6,720,0.002327,0.0012,0.0012
6,720,0.002328,0.0013,0.0012
6,720,0.002328,0.0012,0.0011
6,720,0.002337,0.0012,0.0012
6,720,0.002348,0.0012,0.0012
6,720,0.002367,0.0013,0.0012
6,720,0.002347,0.0013,0.0012
6,720,0.002328,0.0012,0.0012
6,720,0.002328,0.0012,0.0012
6,720,0.002328,0.0013,0.0012
6,720,0.002327,0.0013,0.0012
6,720,0.002327,0.0013,0.0012
6,720,0.002338,0.0012,0.0012
6,720,0.002338,0.0012,0.0012
7,5040,0.002448,0.0014,0.0013
7,5040,0.002387,0.0013,0.0013
7,5040,0.002348,0.0013,0.0012
7,5040,0.002347,0.0012,0.0012
7,5040,0.002338,0.0013,0.0012
7,5040,0.002337,0.0013,0.0012
7,5040,0.002327,0.0012,0.0012
7,5040,0.002327,0.0012,0.0012
7,5040,0.002327,0.0013,0.0012
7,5040,0.002328,0.0012,0.0012
7,5040,0.002338,0.0012,0.0011
7,5040,0.002338,0.0013,0.0012
7,5040,0.002337,0.0012,0.0012
7,5040,0.002337,0.0012,0.0012
7,5040,0.002338,0.0012,0.0012
7,5040,0.002327,0.0012,0.0012
7,5040,0.002318,0.0012,0.0012
7,5040,0.002327,0.0012,0.0011
7,5040,0.002328,0.0012,0.0012
7,5040,0.002337,0.0012,0.0012
7,5040,0.002328,0.0012,0.0012
7,5040,0.002348,0.0012,0.0012
7,5040,0.002357,0.0012,0.0012
7,5040,0.002317,0.0012,0.0011
7,5040,0.002327,0.0012,0.0012
7,5040,0.002317,0.0012,0.0011
7,5040,0.002328,0.0012,0.0012
7,5040,0.002327,0.0012,0.0012
7,5040,0.002328,0.0012,0.0012
7,5040,0.002327,0.0013,0.0012
7,5040,0.002328,0.0012,0.0013
7,5040,0.002327,0.0012,0.0012
7,5040,0.002328,0.0012,0.0012
7,5040,0.002328,0.0013,0.0012
7,5040,0.002337,0.0012,0.0012
7,5040,0.002338,0.0012,0.0012
7,5040,0.002317,0.0012,0.0012
7,5040,0.002327,0.0012,0.0012
7,5040,0.002338,0.0012,0.0012
7,5040,0.002317,0.0013,0.0012
7,5040,0.002338,0.0013,0.0012
7,5040,0.002327,0.0013,0.0012
7,5040,0.002327,0.0013,0.0012
7,5040,0.002317,0.0012,0.0011
7,5040,0.002327,0.0012,0.0011
7,5040,0.002328,0.0012,0.0012
7,5040,0.002327,0.0012,0.0012
7,5040,0.002327,0.0012,0.0012
7,5040,0.002328,0.0013,0.0012
7,5040,0.002337,0.0012,0.0012
7,5040,0.002338,0.0012,0.0012
7,5040,0.002338,0.0012,0.0012
7,5040,0.002327,0.0012,0.0012
7,5040,0.002338,0.0012,0.0011
7,5040,0.002338,0.0013,0.0012
7,5040,0.002327,0.0012,0.0011
7,5040,0.002328,0.0012,0.0011
7,5040,0.002337,0.0012,0.0012
7,5040,0.002337,0.0013,0.0012
7,5040,0.002328,0.0013,0.0012
7,5040,0.002317,0.0012,0.0011
7,5040,0.002328,0.0012,0.0012
7,5040,0.002317,0.0012,0.0012
7,5040,0.002338,0.0013,0.0012
7,5040,0.002317,0.0013,0.0012
7,5040,0.002318,0.0012,0.0012
7,5040,0.002337,0.0012,0.0012
7,5040,0.002327,0.0013,0.0012
7,5040,0.002328,0.0012,0.0012
7,5040,0.002327,0.0012,0.0012
7,5040,0.002337,0.0012,0.0012
7,5040,0.002328,0.0012,0.0011
7,5040,0.002327,0.0012,0.0011
7,5040,0.002327,0.0012,0.0012
7,5040,0.002327,0.0012,0.0012
7,5040,0.002327,0.0012,0.0012
7,5040,0.002338,0.0012,0.0012
7,5040,0.002337,0.0012,0.0012
7,5040,0.002338,0.0012,0.0012
7,5040,0.002327,0.0012,0.0012
7,5040,0.002891,0.0015,0.0015
7,5040,0.002862,0.0016,0.0015
7,5040,0.002972,0.0015,0.0016
7,5040,0.002307,0.0012,0.0012
7,5040,0.002297,0.0012,0.0012
7,5040,0.002307,0.0012,0.0012
7,5040,0.002307,0.0013,0.0011
7,5040,0.002297,0.0013,0.0012
7,5040,0.002307,0.0012,0.0012
7,5040,0.002307,0.0012,0.0012
7,5040,0.002297,0.0012,0.0011
7,5040,0.002297,0.0012,0.0011
7,5040,0.002297,0.0012,0.0012
7,5040,0.002297,0.0012,0.0012
7,5040,0.002297,0.0012,0.0012
7,5040,0.002308,0.0013,0.0012
7,5040,0.002287,0.0012,0.0011
7,5040,0.002297,0.0012,0.0011
7,5040,0.002287,0.0012,0.0011
7,5040,0.002297,0.0012,0.0011
