n,Resultado,Tempo_Relogio(ms),Tempo_CPU_Usuario(ms),Tempo_CPU_Sistema(ms)
3,2,0.004231,0.0023,0.0023
3,2,0.004101,0.0022,0.0022
3,2,0.004212,0.0023,0.0023
3,2,0.004151,0.0022,0.0021
3,2,0.004141,0.0022,0.0022
3,2,0.004101,0.0022,0.0022
3,2,0.004141,0.0022,0.0021
3,2,0.004141,0.0022,0.0021
3,2,0.004131,0.0022,0.0022
3,2,0.004121,0.0022,0.0021
3,2,0.004061,0.0021,0.0021
3,2,0.00402,0.0022,0.0022
3,2,0.004051,0.0021,0.0021
3,2,0.00409,0.0022,0.0021
3,2,0.004121,0.0022,0.0022
3,2,0.004061,0.0022,0.0022
3,2,0.00411,0.0022,0.0022
3,2,0.004101,0.0022,0.0021
3,2,0.00407,0.0022,0.0021
3,2,0.0041,0.0022,0.0022
3,2,0.004091,0.0022,0.0021
3,2,0.004141,0.0022,0.0022
3,2,0.00406,0.0022,0.0021
3,2,0.004272,0.0023,0.0022
3,2,0.004071,0.0022,0.0021
3,2,0.004202,0.0022,0.0022
3,2,0.004091,0.0022,0.0022
3,2,0.004121,0.0022,0.0022
3,2,0.004141,0.0022,0.0022
3,2,0.004665,0.0027,0.0027
3,2,0.026236,0.0241,0.0241
3,2,0.004172,0.0022,0.0022
3,2,0.004211,0.0023,0.0022
3,2,0.004171,0.0022,0.0022
3,2,0.004121,0.0022,0.0022
3,2,0.00403,0.0021,0.002
3,2,0.004081,0.0021,0.0021
3,2,0.004201,0.0022,0.0022
3,2,0.00407,0.0022,0.0021
3,2,0.004141,0.0022,0.0021
3,2,0.004131,0.0021,0.0021
3,2,0.004121,0.0022,0.0021
3,2,0.004131,0.0022,0.0022
3,2,0.0041,0.0021,0.0021
3,2,0.00408,0.0021,0.0021
3,2,0.004202,0.0023,0.0022
3,2,0.004111,0.0022,0.0021
3,2,0.004151,0.0023,0.0022
3,2,0.004151,0.0022,0.0022
3,2,0.00409,0.0022,0.0021
3,2,0.0041,0.0022,0.0021
3,2,0.004151,0.0023,0.0021
3,2,0.00404,0.0021,0.0021
3,2,0.00407,0.0021,0.0021
3,2,0.004151,0.0023,0.0022
3,2,0.004171,0.0023,0.0021
3,2,0.00407,0.0021,0.0021
3,2,0.004131,0.0022,0.0021
3,2,0.00411,0.0021,0.0021
3,2,0.004141,0.0022,0.0022
3,2,0.00409,0.0022,0.0021
3,2,0.004101,0.0022,0.0021
3,2,0.00409,0.0022,0.0021
